# Pathway	demo_Abundance
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	20.8528455548
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	20.8528455548
PWY-6151: S-adenosyl-L-methionine salvage I	20.4943415830
PWY-6151: S-adenosyl-L-methionine salvage I|unclassified	20.4943415830
NONMEVIPP-PWY: methylerythritol phosphate pathway I	19.5071645695
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	19.5071645695
PWY-7664: oleate biosynthesis IV (anaerobic)	19.4532085353
PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified	19.4532085353
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	19.1134427306
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	19.1134427306
PWY-7185: UTP and CTP dephosphorylation I	18.8848734043
PWY-7185: UTP and CTP dephosphorylation I|unclassified	18.8848734043
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	18.8813154280
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|unclassified	18.8813154280
PENTOSE-P-PWY: pentose phosphate pathway	18.6737749227
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	18.6737749227
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	18.5050999770
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	18.5050999770
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	18.3796098808
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	18.3796098808
PWY-7456: &beta;-(1,4)-mannan degradation	18.0757574595
PWY-7456: &beta;-(1,4)-mannan degradation|unclassified	18.0757574595
PWY0-862: (5Z)-dodecenoate biosynthesis I	17.5406554506
PWY0-862: (5Z)-dodecenoate biosynthesis I|unclassified	17.5406554506
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	17.5252251374
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	17.5252251374
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	17.5009754146
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	17.5009754146
PWY-5941: glycogen degradation II	17.4764875860
PWY-5941: glycogen degradation II|unclassified	17.4764875860
PWY-5989: stearate biosynthesis II (bacteria and plants)	16.9326044434
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	16.9326044434
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	16.4250222026
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|unclassified	16.4250222026
PWY-5130: 2-oxobutanoate degradation I	16.1084047679
PWY-5130: 2-oxobutanoate degradation I|unclassified	16.1084047679
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	15.7458818316
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I|unclassified	15.7458818316
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	15.5958868802
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|unclassified	15.5958868802
PWY-7345: superpathway of anaerobic sucrose degradation	14.8850599761
PWY-7345: superpathway of anaerobic sucrose degradation|unclassified	14.8850599761
GLYCOCAT-PWY: glycogen degradation I	14.2881304126
GLYCOCAT-PWY: glycogen degradation I|unclassified	14.2881304126
PWY-7111: pyruvate fermentation to isobutanol (engineered)	13.7726390433
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	13.7726390433
PWY-6531: mannitol cycle	13.6710664200
PWY-6531: mannitol cycle|unclassified	13.6710664200
PWY-8004: Entner-Doudoroff pathway I	13.4720431522
PWY-8004: Entner-Doudoroff pathway I|unclassified	13.4720431522
ANAEROFRUCAT-PWY: homolactic fermentation	11.4976639650
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	11.4976639650
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	11.3308741865
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	11.3308741865
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	11.0356274791
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|unclassified	11.0356274791
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	10.1387204598
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	10.1387204598
PWY-7242: D-fructuronate degradation	10.1165359451
PWY-7242: D-fructuronate degradation|unclassified	10.1165359451
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	9.3531893518
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway|unclassified	9.3531893518
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	8.9405759328
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	8.9405759328
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	8.6364799000
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	8.6364799000
PWY-6608: guanosine nucleotides degradation III	7.4602666596
PWY-6608: guanosine nucleotides degradation III|unclassified	7.4602666596
PWY-6992: 1,5-anhydrofructose degradation	6.6292066873
PWY-6992: 1,5-anhydrofructose degradation|unclassified	6.6292066873
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	4.7172784444
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	4.7172784444
PWY-5505: L-glutamate and L-glutamine biosynthesis	3.8015154767
PWY-5505: L-glutamate and L-glutamine biosynthesis|unclassified	3.8015154767
GLUTORN-PWY: L-ornithine biosynthesis I	2.8285267592
GLUTORN-PWY: L-ornithine biosynthesis I|unclassified	2.8285267592
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	1.1551730209
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|unclassified	1.1551730209
